TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
8.36799257e-10,1.70704666e+00,1.32477325e+00,1.80000000e+00,-1.42137021e-02,-4.79082510e-05,-6.72097432e-05,-4.52572087e-06,-3.68945632e-06
8.38790007e-10,1.63882023e+00,1.39644024e+00,1.80000000e+00,-1.81737554e-02,-5.62633166e-05,-6.98771677e-05,-3.43118789e-06,-8.50681675e-06
8.40780756e-10,1.56078436e+00,1.46810723e+00,1.80000000e+00,-2.24880482e-02,-4.83951671e-05,-8.69197847e-05,-5.23749197e-06,-9.28077094e-06
8.42771506e-10,1.47332969e+00,1.53977421e+00,1.80000000e+00,-2.74267420e-02,-5.77564686e-05,-8.88023024e-05,-4.68579270e-06,-1.31644820e-05
8.44762256e-10,1.37706379e+00,1.61144120e+00,1.80000000e+00,-3.33972496e-02,-4.97095381e-05,-1.04624143e-04,-7.31070871e-06,-1.42988989e-05
8.46753005e-10,1.27290070e+00,1.68310818e+00,1.80000000e+00,-4.09846353e-02,-5.96380041e-05,-1.04670059e-04,-7.93457506e-06,-1.81139999e-05
8.48743755e-10,1.16202177e+00,1.75477517e+00,1.80000000e+00,-5.09121547e-02,-5.11944665e-05,-1.18118237e-04,-1.20127237e-05,-2.06489456e-05
8.50000000e-10,1.08904489e+00,1.80000000e+00,1.80000000e+00,-5.86559906e-02,-6.13448935e-05,-1.14246844e-04,-1.26443596e-05,-2.36431031e-05
8.50199075e-10,1.07670754e+00,1.80000000e+00,1.80000000e+00,-6.01340430e-02,-1.21976372e-05,-1.23946695e-04,-1.48492048e-05,-4.29732524e-05
8.50355156e-10,1.06706995e+00,1.80000000e+00,1.80000000e+00,-6.12965504e-02,-1.16222639e-05,-1.23494683e-04,-1.48961917e-05,-4.37116350e-05
8.50667318e-10,1.04786260e+00,1.80000000e+00,1.80000000e+00,-6.36392883e-02,-1.14671610e-05,-1.22625407e-04,-1.51232954e-05,-4.41555426e-05
8.51291643e-10,1.00975769e+00,1.80000000e+00,1.80000000e+00,-6.83783545e-02,-1.14420187e-05,-1.21509842e-04,-1.52395410e-05,-4.45297235e-05
8.52540292e-10,9.34689447e-01,1.80000000e+00,1.80000000e+00,-7.79877278e-02,-1.11668243e-05,-1.18968407e-04,-1.55437206e-05,-4.65026204e-05
8.55037590e-10,7.88424967e-01,1.80000000e+00,1.80000000e+00,-9.65475316e-02,-1.10390931e-05,-1.15307940e-04,-1.41840918e-05,-5.28477700e-05
8.60032187e-10,5.13261266e-01,1.80000000e+00,1.80000000e+00,-1.08924921e-01,-1.20792477e-05,-1.05061170e-04,4.27146824e-06,-7.56480187e-05
8.60748779e-10,4.76741650e-01,1.80000000e+00,1.80000000e+00,-1.05614632e-01,-1.32068749e-05,-1.01925853e-04,9.23898064e-06,-7.87296808e-05
8.61465371e-10,4.40839699e-01,1.80000000e+00,1.80000000e+00,-1.01225633e-01,-1.47285568e-05,-9.84780574e-05,1.52603150e-05,-8.20510353e-05
8.62898554e-10,3.73078275e-01,1.80000000e+00,1.80000000e+00,-8.66010046e-02,-1.43534731e-05,-9.06433426e-05,2.55568645e-05,-8.83460971e-05
8.64331738e-10,3.11775026e-01,1.80000000e+00,1.80000000e+00,-6.40773992e-02,-1.48399592e-05,-8.04533629e-05,3.73062743e-05,-9.32542519e-05
8.65764922e-10,2.57946526e-01,1.80000000e+00,1.80000000e+00,-3.39796590e-02,-1.27549615e-05,-6.97813978e-05,4.66961926e-05,-9.71498015e-05
8.67198105e-10,2.11774960e-01,1.80000000e+00,1.80000000e+00,2.96595338e-03,-1.21775841e-05,-5.90829419e-05,5.64186115e-05,-9.99095300e-05
8.68631289e-10,1.72978460e-01,1.80000000e+00,1.80000000e+00,4.54911257e-02,-9.55137675e-06,-4.91976699e-05,6.22686839e-05,-1.01871644e-04
8.70064472e-10,1.40793302e-01,1.80000000e+00,1.80000000e+00,9.30421944e-02,-8.96129358e-06,-4.06307576e-05,7.04458339e-05,-1.03064471e-04
8.71497656e-10,1.14441621e-01,1.80000000e+00,1.80000000e+00,1.44606131e-01,-6.48757298e-06,-3.29164995e-05,7.34685549e-05,-1.03666077e-04
8.72930840e-10,9.30617922e-02,1.80000000e+00,1.80000000e+00,1.99336779e-01,-6.23135693e-06,-2.67543700e-05,7.92840914e-05,-1.03801556e-04
8.75797207e-10,6.18155524e-02,1.80000000e+00,1.80000000e+00,3.15220970e-01,-3.19517351e-06,-1.68495884e-05,8.24316690e-05,-1.03000087e-04
8.81529941e-10,2.86044705e-02,1.80000000e+00,1.80000000e+00,5.58374623e-01,-1.89659924e-06,-6.32335408e-06,8.72281345e-05,-9.89804997e-05
8.87262676e-10,1.64207573e-02,1.80000000e+00,1.80000000e+00,8.01331416e-01,9.90108064e-09,-2.17779883e-06,8.22943095e-05,-9.29980533e-05
8.92995411e-10,1.18612420e-02,1.80000000e+00,1.80000000e+00,1.03094300e+00,-7.19301599e-07,-1.00359063e-06,7.79165543e-05,-8.51997794e-05
8.98728145e-10,1.02408888e-02,1.80000000e+00,1.80000000e+00,1.23465962e+00,4.67638324e-07,-1.27006414e-07,6.42261615e-05,-7.30318691e-05
9.04460880e-10,1.08845878e-02,1.80000000e+00,1.80000000e+00,1.39593633e+00,-3.67748522e-07,5.76145639e-07,4.83042282e-05,-5.67079317e-05
9.09620341e-10,1.17886921e-02,1.80000000e+00,1.80000000e+00,1.50326680e+00,5.24633612e-07,1.24783603e-07,3.49063788e-05,-4.47507444e-05
9.14779802e-10,1.14368560e-02,1.80000000e+00,1.80000000e+00,1.58319647e+00,-5.86164200e-07,-3.97553215e-07,2.70610772e-05,-3.41378368e-05
9.19939263e-10,1.00896862e-02,1.80000000e+00,1.80000000e+00,1.64246923e+00,3.53536429e-07,-6.46873540e-07,1.88915960e-05,-2.61779662e-05
